male_id,male_name,female_id,female_name,match_score,euclidean_distance,male_preference,female_preference,compatible_activities,compatible_music,height_difference
M10,Jack,F6,Fiona,2.2087652901596964,2.449903059306633,0.4087652901596964,4.008765290159697,False,False,9
M4,David,F5,Emma,3.6079792574700735,2.4502244795120305,3.6079792574700735,3.6079792574700735,False,False,12
M7,George,F8,Hannah,3.609776055174282,2.449489742783178,3.609776055174282,3.609776055174282,False,False,0
M5,Ethan,F1,Amy,3.4097635755540625,2.4494948458814934,4.009763575554063,2.8097635755540624,False,False,1
M2,Ben,F2,Beth,4.009576384370579,2.4495713910804886,4.009576384370579,4.009576384370579,False,False,4
M1,Alex,F3,Chloe,3.0006853006155803,2.4532070846139344,2.8006853006155805,3.2006853006155804,False,False,27
M9,Ian,F10,Jen,4.001981355787341,2.452677108793573,4.001981355787341,4.001981355787341,False,False,25
M6,Frank,F4,Diana,3.606582120559268,2.4507957891264627,3.606582120559268,3.606582120559268,False,False,16
M3,Carlos,F7,Grace,2.2079792574700736,2.4502244795120305,2.8079792574700737,1.6079792574700735,False,False,12
M8,Harry,F9,Isla,3.4097261368494,2.4495101551126504,3.6097261368493996,3.2097261368494,False,False,2
